firma_adi,kategoriler,logo_url
bolvadin sut,Gıda & Yağ,https://ensotek.com/upload/16/bolvadin-sut-250x250-1.png
bor aluminyum,Alüminyum - Tel Çekme,https://ensotek.com/upload/10/ensotek-referanslari-bor-aluminyum-250x250-1.jpg
bor billet aluminyum,Alüminyum - Tel Çekme,https://ensotek.com/upload/10/ensotek-referanslari-bor-billet-aluminyum-250x250-1.jpg
borusan mannesmann,Metal,https://ensotek.com/upload/1/ensotek-referanslari-borusan-mannesmann-250x250-1.jpg
botech,Gıda & Yağ,https://ensotek.com/upload/16/botech-250x250-1.png
boycelik,Metal,https://ensotek.com/upload/2/ensotek-referanslari-boycelik-250x250-1.jpg
boycelik metal san ve tic as,Başlıca Referanslar,https://ensotek.com/upload/15/boycelik-metal-san-ve-tic-as-250x250-1.jpg
bozzetto group,Kimya,https://ensotek.com/upload/10/ensotek-referanslari-bozzetto-group-250x250-1.jpg
brofind min,Metal,https://ensotek.com/upload/16/brofind-min-250x250-1.jpg
bunsa dokum,Metal,https://ensotek.com/upload/16/bunsa-dokum-250x250-1.png
burak aluminyum,Alüminyum - Tel Çekme,https://ensotek.com/upload/10/ensotek-referanslari-burak-aluminyum-250x250-1.jpg
bursa jelatin,Kimya,https://ensotek.com/upload/17/bursa-jelatin-250x250-1.jpg
cag celik endustri as,Alüminyum - Tel Çekme,https://ensotek.com/upload/10/ensotek-referanslari-cag-celik-endustri-as-250x250-1.jpg
cagdas pano,AVM - İş Merkezi - Otel,https://ensotek.com/upload/3/ensotek-referanslari-cagdas-pano-250x250-1.jpg
can metal,Alüminyum - Tel Çekme; Metal,https://ensotek.com/upload/2/ensotek-referanslari-can-metal-250x250-1.jpg
capacity,AVM - İş Merkezi - Otel,https://ensotek.com/upload/3/ensotek-referanslari-capacity-250x250-1.jpg
capitol avm,AVM - İş Merkezi - Otel,https://ensotek.com/upload/3/ensotek-referanslari-capitol-avm-250x250-1.jpg
cb metal,Alüminyum - Tel Çekme,https://ensotek.com/upload/10/ensotek-referanslari-cb-metal-250x250-1.jpg
celemler,Tekstil,https://ensotek.com/upload/10/ensotek-referanslari-celemler-250x250-1.jpg
celik granul,Çimento - Maden,https://ensotek.com/upload/4/ensotek-referanslari-celik-granul-250x250-1.jpg
celikyay,Otomotiv,https://ensotek.com/upload/3/ensotek-referanslari-celikyay-250x250-1.jpg
cemak,Enerji,https://ensotek.com/upload/16/cemak-250x250-1.png
cengiz holding,Başlıca Referanslar,https://ensotek.com/upload/1/ensotek-referanslari-cengiz-holding-250x250-1.jpg
cici sut,Gıda & Yağ,https://ensotek.com/upload/1/ensotek-referanslari-cici-sut-250x250-1.jpg
cihan metal san ve tic as,Metal,https://ensotek.com/upload/2/ensotek-referanslari-cihan-metal-san-ve-tic-as-250x250-1.jpg
cimentas group,Çimento - Maden,https://ensotek.com/upload/4/ensotek-referanslari-cimentas-group-250x250-1.jpg
cimko,Çimento - Maden,https://ensotek.com/upload/1/ensotek-referanslari-cimko-250x250-1.jpg
cimpor,Çimento - Maden,https://ensotek.com/upload/1/ensotek-referanslari-cimpor-250x250-1.jpg
cimsa,Çimento - Maden,https://ensotek.com/upload/1/ensotek-referanslari-cimsa-250x250-1.jpg
coats,Tekstil,https://ensotek.com/upload/10/ensotek-referanslari-coats-250x250-1.jpg
cokyasar tel orme ve dokuma,Metal,https://ensotek.com/upload/2/ensotek-referanslari-cokyasar-tel-orme-ve-dokuma-250x250-1.jpg
colgate palmolive min,Kimya,https://ensotek.com/upload/15/colgate-palmolive-min-250x250-1.png
componenta,Metal; Otomotiv,https://ensotek.com/upload/2/ensotek-referanslari-componenta-250x250-1.jpg
crown bevcan,Ambalaj - Kağıt - Yalıtım,https://ensotek.com/upload/16/crown-bevcan-250x250-1.jpg
csm,Metal,https://ensotek.com/upload/16/csm-250x250-1.jpg
cuhadaroglu aluminyum,Alüminyum - Tel Çekme,https://ensotek.com/upload/10/ensotek-referanslari-cuhadaroglu-aluminyum-250x250-1.jpg
dalan kimya,Kimya,https://ensotek.com/upload/1/ensotek-referanslari-dalan-kimya-250x250-1.jpg
dalan yag min,Kimya,https://ensotek.com/upload/17/dalan-yag-min-250x250-1.png
demirsan soguk cekme san ve tic as,Alüminyum - Tel Çekme,https://ensotek.com/upload/10/ensotek-referanslari-demirsan-soguk-cekme-san-ve-tic-as-250x250-1.jpg
demko konservecilik,Gıda & Yağ,https://ensotek.com/upload/16/demko-konservecilik-250x250-1.jpg
dikmen otomotiv san ve tic ltd sti,Otomotiv,https://ensotek.com/upload/3/ensotek-referanslari-dikmen-otomotiv-san-ve-tic-ltd-sti-250x250-1.jpg
dimak diren,Gıda & Yağ,https://ensotek.com/upload/3/ensotek-referanslari-dimak-diren-250x250-1.jpg
